Ad Index,Advertiser,Ad Text,Ad Link,Page ID,Active Time,Error,Raw HTML
378,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
379,61558228850235,...,https://www.facebook.com/61558228850235/,61558228850235,Unknown,Incomplete data,N/A
380,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
381,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
382,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
388,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
389,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
390,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
391,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
392,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
393,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
394,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
400,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
401,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
402,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
403,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
404,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
405,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
406,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
412,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
413,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
414,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
415,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
416,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
417,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
418,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
424,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
425,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
426,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
427,61555427913037,...,https://www.facebook.com/61555427913037/,61555427913037,Unknown,Incomplete data,N/A
428,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
429,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
430,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
