Ad Index,Advertiser,Ad Text,Ad Link,Page ID,Active Time,Error,Raw HTML
86,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
87,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
88,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
94,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
95,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
96,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
97,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
98,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
99,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
100,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
109,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
110,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
111,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
112,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
113,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
114,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
115,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
121,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
122,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
123,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
124,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
125,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
126,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
127,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
133,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
134,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
135,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
